id,nr_playlist,composer,composition,voices,experiment,performer,Album,year_recording,,audio_final,symbolic_is_audio,instrumentation,instrumentation_category,final_safe,not repeated,repetitions,comments,symbolic,audio,mf0,basicpitch,multipitch_214c,multipitch_195f,MT3
0,1,Agricola,0001 Agr1001a Missa In myne zin - Gloria,4,CANTO_JRP,"Alexandre Agricola, Capilla Flamenca, Dirk Snellings",,2010,,37,y,v,vocal,y,y,,,0001 Agr1001a Missa In myne zin - Gloria.musicxml,0001 Agr1001a Missa In myne zin - Gloria.wav,0001 Agr1001a Missa In myne zin - Gloria.csv,0001 Agr1001a Missa In myne zin - Gloria.csv,0001 Agr1001a Missa In myne zin - Gloria.csv,0001 Agr1001a Missa In myne zin - Gloria.csv,
1,2,Agricola,0002 Agr1001b Missa In myne zin - Credo,4,CANTO_JRP,"Alexandre Agricola, Capilla Flamenca, Dirk Snellings",,2010,,37,y,v,vocal,y,y,,,0002 Agr1001b Missa In myne zin - Credo.musicxml,0002 Agr1001b Missa In myne zin - Credo.wav,0002 Agr1001b Missa In myne zin - Credo.csv,0002 Agr1001b Missa In myne zin - Credo.csv,0002 Agr1001b Missa In myne zin - Credo.csv,0002 Agr1001b Missa In myne zin - Credo.csv,
2,3,Agricola,0003 Agr1001c Missa In myne zin - Sanctus,4,CANTO_JRP,"Alexandre Agricola, Capilla Flamenca, Dirk Snellings",,2010,,49,y,v,vocal,y,y,,,0003 Agr1001c Missa In myne zin - Sanctus.musicxml,0003 Agr1001c Missa In myne zin - Sanctus.wav,0003 Agr1001c Missa In myne zin - Sanctus.csv,0003 Agr1001c Missa In myne zin - Sanctus.csv,0003 Agr1001c Missa In myne zin - Sanctus.csv,0003 Agr1001c Missa In myne zin - Sanctus.csv,
3,4,Agricola,0004 Agr1001d Missa In myne zin - Agnus,4,CANTO_JRP,"Alexandre Agricola, Capilla Flamenca, Dirk Snellings",,2010,,37,y,v,vocal,y,y,,,0004 Agr1001d Missa In myne zin - Agnus.musicxml,0004 Agr1001d Missa In myne zin - Agnus.wav,0004 Agr1001d Missa In myne zin - Agnus.csv,0004 Agr1001d Missa In myne zin - Agnus.csv,0004 Agr1001d Missa In myne zin - Agnus.csv,0004 Agr1001d Missa In myne zin - Agnus.csv,
4,0005-0007,Josquin,0005-0007 Jos0901a Missa Malheur me bat - Kyrie,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,52,y,v,vocal,y,y,,,0005-0007 Jos0901a Missa Malheur me bat - Kyrie.musicxml,0005-0007 Jos0901a Missa Malheur me bat - Kyrie.wav,0005-0007 Jos0901a Missa Malheur me bat - Kyrie.csv,0005-0007 Jos0901a Missa Malheur me bat - Kyrie.csv,0005-0007 Jos0901a Missa Malheur me bat - Kyrie.csv,0005-0007 Jos0901a Missa Malheur me bat - Kyrie.csv,
5,0008-0011,Josquin,0008-0011 Jos0901b Missa Malheur me bat - Gloria,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,52,y,v,vocal,y,y,,,0008-0011 Jos0901b Missa Malheur me bat - Gloria.musicxml,0008-0011 Jos0901b Missa Malheur me bat - Gloria.wav,0008-0011 Jos0901b Missa Malheur me bat - Gloria.csv,0008-0011 Jos0901b Missa Malheur me bat - Gloria.csv,0008-0011 Jos0901b Missa Malheur me bat - Gloria.csv,0008-0011 Jos0901b Missa Malheur me bat - Gloria.csv,
6,0012-0015,Josquin,0012-0015 Jos0901c Missa Malheur me bat - Credo,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,40,y,v,vocal,y,y,,,0012-0015 Jos0901c Missa Malheur me bat - Credo.musicxml,0012-0015 Jos0901c Missa Malheur me bat - Credo.wav,0012-0015 Jos0901c Missa Malheur me bat - Credo.csv,0012-0015 Jos0901c Missa Malheur me bat - Credo.csv,0012-0015 Jos0901c Missa Malheur me bat - Credo.csv,0012-0015 Jos0901c Missa Malheur me bat - Credo.csv,
7,0016-0021,Josquin,0016-0021 Jos0901d Missa Malheur me bat - Sanctus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,52,a,v,vocal,pcp,y,hosanna II = hosanna I,final of hosanna II is octave lower than benedictus in sheet music,0016-0021 Jos0901d Missa Malheur me bat - Sanctus.musicxml,0016-0021 Jos0901d Missa Malheur me bat - Sanctus.wav,0016-0021 Jos0901d Missa Malheur me bat - Sanctus.csv,0016-0021 Jos0901d Missa Malheur me bat - Sanctus.csv,0016-0021 Jos0901d Missa Malheur me bat - Sanctus.csv,0016-0021 Jos0901d Missa Malheur me bat - Sanctus.csv,
8,0022-0024,Josquin,0022-0024 Jos0901e Missa Malheur me bat - Agnus,4,CANTO_JRP,"The Tallis Scholars, Peter Phillips",,2009,,52,y,v,vocal,y,y,,,0022-0024 Jos0901e Missa Malheur me bat - Agnus.musicxml,0022-0024 Jos0901e Missa Malheur me bat - Agnus.wav,0022-0024 Jos0901e Missa Malheur me bat - Agnus.csv,0022-0024 Jos0901e Missa Malheur me bat - Agnus.csv,0022-0024 Jos0901e Missa Malheur me bat - Agnus.csv,0022-0024 Jos0901e Missa Malheur me bat - Agnus.csv,
9,25,Agricola,0025 Agr3002 Lheure est venue | Circumdederunt me,3,CANTO_JRP,"Alexander Agricola, Graindelavoix",,2011,,38,a,viv,mixed,n,n,herhalingen,"Refrein: Stem 2 door luit, couplet stem 2 en 3 door viola da gamba, veel versieringen",0025 Agr3002 Lheure est venue | Circumdederunt me.musicxml,0025 Agr3002 Lheure est venue | Circumdederunt me.wav,0025 Agr3002 Lheure est venue | Circumdederunt me.csv,0025 Agr3002 Lheure est venue | Circumdederunt me.csv,0025 Agr3002 Lheure est venue | Circumdederunt me.csv,0025 Agr3002 Lheure est venue | Circumdederunt me.csv,
